ano,mes,instituto_pesquisa,contratante_pesquisa_original,data_inicio_pesquisa,data_fim_pesquisa,tamanho_amostra,margem_erro,cenario_id,nome_candidato,partido,percentual,percentual_numero,outros,indecisos_absentos,fonte_titulo,fonte_url,fonte_website,fonte_data_publicacao,fonte_data_acesso,linha_original_wikitext,observacoes_extracao
2018,Março,CNT/MDA,CNT/MDA [BR-06600/2018],28 de fevereiro,3 de março de 2018,2.002,"2,2",cenario_4,Bolsonaro,PSL,"16,8%",16.8,"2,5%","24,6%",,http://cms.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/relatorio_sintese_completo_cntmda_135.pdf,,,,"'''16,8%'''<br /><small>(Bolsonaro)</small>",
2018,Fevereiro,#PESQUISA365,#PESQUISA365 [BR-05162/2018],2,7 de fevereiro de 2018,2.000,"2,2",cenario_1,Haddad,PT,"2,5%",2.5,"5,2%","44,5%",,http://www.pesquisa365.com.br/eleicoes2018/1-pesquisa-nacional-fevereiro.pdf,,,,"2,5%<br /><small>(Haddad)</small>",
2018,Fevereiro,#PESQUISA365,#PESQUISA365 [BR-05162/2018],2,7 de fevereiro de 2018,2.000,"2,2",cenario_1,Gomes,PDT,"9,6%",9.6,"5,2%","44,5%",,http://www.pesquisa365.com.br/eleicoes2018/1-pesquisa-nacional-fevereiro.pdf,,,,"9,6%<br /><small>(Gomes)</small>",
2018,Fevereiro,#PESQUISA365,#PESQUISA365 [BR-05162/2018],2,7 de fevereiro de 2018,2.000,"2,2",cenario_1,Barbosa,PSB,"5,6%",5.6,"5,2%","44,5%",,http://www.pesquisa365.com.br/eleicoes2018/1-pesquisa-nacional-fevereiro.pdf,,,,"5,6%<br /><small>([[Joaquim Barbosa|Barbosa]])</small>",
2018,Fevereiro,#PESQUISA365,#PESQUISA365 [BR-05162/2018],2,7 de fevereiro de 2018,2.000,"2,2",cenario_1,Silva,REDE,"9,7%",9.7,"5,2%","44,5%",,http://www.pesquisa365.com.br/eleicoes2018/1-pesquisa-nacional-fevereiro.pdf,,,,"'''9,7%'''<br /><small>(Silva)</small>",
2018,Fevereiro,#PESQUISA365,#PESQUISA365 [BR-05162/2018],2,7 de fevereiro de 2018,2.000,"2,2",cenario_1,,MDB,,,"5,2%","44,5%",,http://www.pesquisa365.com.br/eleicoes2018/1-pesquisa-nacional-fevereiro.pdf,,,,–,
2018,Fevereiro,#PESQUISA365,#PESQUISA365 [BR-05162/2018],2,7 de fevereiro de 2018,2.000,"2,2",cenario_1,Dias,PODE,"3,0%",3.0,"5,2%","44,5%",,http://www.pesquisa365.com.br/eleicoes2018/1-pesquisa-nacional-fevereiro.pdf,,,,"3,0%<br /><small>(Dias)</small>",
2018,Fevereiro,#PESQUISA365,#PESQUISA365 [BR-05162/2018],2,7 de fevereiro de 2018,2.000,"2,2",cenario_1,Alckmin,PSDB,"4,4%",4.4,"5,2%","44,5%",,http://www.pesquisa365.com.br/eleicoes2018/1-pesquisa-nacional-fevereiro.pdf,,,,"4,4%<br /><small>(Alckmin)</small>",
2018,Fevereiro,#PESQUISA365,#PESQUISA365 [BR-05162/2018],2,7 de fevereiro de 2018,2.000,"2,2",cenario_1,Amoêdo,NOVO,"0,1%",0.1,"5,2%","44,5%",,http://www.pesquisa365.com.br/eleicoes2018/1-pesquisa-nacional-fevereiro.pdf,,,,"0,1%<br /><small>(Amoêdo)</small>",
2018,Fevereiro,#PESQUISA365,#PESQUISA365 [BR-05162/2018],2,7 de fevereiro de 2018,2.000,"2,2",cenario_1,Bolsonaro,PSL,"15,9%",15.9,"5,2%","44,5%",,http://www.pesquisa365.com.br/eleicoes2018/1-pesquisa-nacional-fevereiro.pdf,,,,"style=""background:#FeFFE3"" |'''15,9%'''<br /><small>(Bolsonaro)</small>",
