date,election_year,term,interest_raw,interest_scaled,geo,timeframe,source,batch_id,anchor_term,is_anchor,is_partial,collected_at
2018-07-15,2018,Vera Lúcia,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-07-22,2018,Vera Lúcia,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-07-29,2018,Vera Lúcia,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-08-05,2018,Vera Lúcia,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-08-12,2018,Vera Lúcia,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-08-19,2018,Vera Lúcia,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-08-26,2018,Vera Lúcia,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-09-02,2018,Vera Lúcia,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-09-09,2018,Vera Lúcia,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-09-16,2018,Vera Lúcia,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-09-23,2018,Vera Lúcia,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-09-30,2018,Vera Lúcia,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-10-07,2018,Vera Lúcia,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-10-14,2018,Vera Lúcia,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-10-21,2018,Vera Lúcia,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-10-28,2018,Vera Lúcia,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-11-04,2018,Vera Lúcia,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-11-11,2018,Vera Lúcia,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-11-18,2018,Vera Lúcia,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-11-25,2018,Vera Lúcia,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-12-02,2018,Vera Lúcia,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-12-09,2018,Vera Lúcia,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-12-16,2018,Vera Lúcia,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-12-23,2018,Vera Lúcia,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-12-30,2018,Vera Lúcia,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2017-12-31,2018,João Goulart Filho,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-01-07,2018,João Goulart Filho,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
